
DETECTOR-DESCRIPTOR,AVG - RUN TIME
FAST-BRISK,5.6
FAST-BRIEF,5.76667
SHITOMASI-ORB,5.8
SHITOMASI-BRISK,6.3
HARRIS-BRISK,6.3
FAST-ORB,6.33333
SIFT-ORB,6.33333
SHITOMASI-BRIEF,6.9
HARRIS-BRIEF,7.1
HARRIS-ORB,7.55
ORB-ORB,8.175
SHITOMASI-SIFT,13.5
FAST-SIFT,13.5667
HARRIS-SIFT,13.6
ORB-BRIEF,14.18
ORB-BRISK,14.46
AKAZE-ORB,15.36
SIFT-BRIEF,15.475
SHITOMASI-FREAK,15.6
SIFT-BRISK,15.85
FAST-FREAK,16.1667
HARRIS-FREAK,16.75
AKAZE-BRIEF,19.1833
AKAZE-BRISK,19.6333
BRISK-ORB,20.3333
BRISK-BRIEF,22.5857
BRISK-BRISK,23.1
ORB-FREAK,23.26
SIFT-FREAK,24.7
AKAZE-FREAK,27.7667
ORB-SIFT,28
SIFT-SIFT,29.2
BRISK-FREAK,30.9571
AKAZE-SIFT,32.15
BRISK-SIFT,35.1857
AKAZE-AKAZE,72.5
BRISK-AKAZE,72.5
SHITOMASI-AKAZE,nan
HARRIS-AKAZE,nan
FAST-AKAZE,nan
SIFT-AKAZE,nan
ORB-AKAZE,nan
