DETECTOR-DESCRIPTOR,TIME
FAST-BRIEF,3.70788
FAST-ORB,4.23225
FAST-BRISK,4.85147
SHITOMASI-BRIEF,6.313
SHITOMASI-BRISK,6.74477
SHITOMASI-ORB,7.98298
HARRIS-BRISK,8.89113
ORB-BRIEF,9.1646
ORB-BRISK,9.27767
HARRIS-BRIEF,10.4713
HARRIS-ORB,10.9616
FAST-SIFT,13.2345
SHITOMASI-SIFT,13.9942
ORB-ORB,14.1566
FAST-FREAK,15.7005
SHITOMASI-FREAK,16.0335
HARRIS-FREAK,16.0937
HARRIS-SIFT,16.9065
ORB-FREAK,18.4961
ORB-SIFT,22.9808
BRISK-BRIEF,43.3236
BRISK-BRISK,44.3299
AKAZE-BRIEF,44.4428
AKAZE-ORB,44.5521
SIFT-BRISK,44.8536
SIFT-BRIEF,45.4576
AKAZE-BRISK,45.7997
BRISK-ORB,45.8977
AKAZE-FREAK,50.609
BRISK-FREAK,50.6434
SIFT-FREAK,51.6338
AKAZE-SIFT,53.3975
BRISK-SIFT,54.3152
AKAZE-AKAZE,74.024
SIFT-SIFT,75.5009
SIFT-ORB,nan
SHITOMASI-AKAZE,nan
HARRIS-AKAZE,nan
FAST-AKAZE,nan
SIFT-AKAZE,nan
ORB-AKAZE,nan
BRISK-AKAZE,nan
